№;Наименование;Регистрационный номер;Наименование на английском;Краткое наименование;Дата регистрации;Возраст компании, лет;Код налогоплательщика;Вид деятельности/отрасль;Организационно-правовая форма;Форма собственности;Размер компании;2017, Среднесписочная численность работников;2018, Среднесписочная численность работников;2019, Среднесписочная численность работников;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;Мои списки;2017, Выручка, RUB;2018, Выручка, RUB;2019, Выручка, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2017, Прибыль (убыток) до налогообложения , RUB;2018, Прибыль (убыток) до налогообложения , RUB;2019, Прибыль (убыток) до налогообложения , RUB;2020, Прибыль (убыток) до налогообложения , RUB;2021, Прибыль (убыток) до налогообложения , RUB
67;АРСЕЛОРМИТТАЛ ТЕМИРТАУ, ООО;5087746601290;ARSELORMITTAL TEMIRTAU, OOO;"ООО ""АРСЕЛОРМИТТАЛ ТЕМИРТАУ""";15.12.2008;14,0;7706703128;Деятельность вспомогательная прочая, связанная с перевозками;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;1;3;4;6;5;"""left""";;9 216 000;2 798 774 000;3 736 481 000;5 645 011 000;;3 292 000;33 513 000;33 712 000;18 029 000
68;АРХИМЕД-АСУС, ООО;1167746543623;ARKHIMED-ASUS, OOO;"ООО ""АРХИМЕД-АСУС""";07.06.2016;6,5;7702402151;Деятельность холдинговых компаний;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;;1;2;2;2;1;"""left""";;;;;;-248 000;;-1 668 000;-8 546 000;-6 783 000
69;АСБИС, ООО;1027739836761;ASBIS, OOO;"ООО ""АСБИС""";05.10.2000;22,5;7717115978;Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;97;51 - 100;;;;"""left""";5 375 489 000;6 287 148 000;5 494 678 000;9 824 521 000;19 375 251 000;57 535 000;34 820 000;18 912 000;214 449 000;175 124 000
70;АСЕР МАРКЕТИНГ СЕРВИСИЗ, ООО;1097746344783;ASER MARKETING SERVISIZ, OOO;"ООО ""АСЕР МАРКЕТИНГ СЕРВИСИЗ""";10.06.2009;13,5;7713688135;Исследование конъюнктуры рынка и изучение общественного мнения;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;42;41;40;40;40;"""left""";;277 552 000;289 591 000;323 372 000;350 314 000;;7 907 000;10 440 000;18 116 000;13 840 000
71;АСОС, ООО;1044701650058;ASOS, OOO;"ООО ""АСОС""";29.10.2004;18,0;4712021431;Аренда и управление собственным или арендованным нежилым недвижимым имуществом;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;5;5;7;6;2;"""left""";42 115 000;31 500 000;17 834 000;10 906 000;16 065 000;110 000;-66 757 000;2 825 000;-361 678 000;-10 263 000
72;АСПО;1075800000011;ASPO;АСПО;11.01.2007;16,0;5836140930;Регулярные перевозки пассажиров автобусами в городском и пригородном сообщении;Объединения юридических лиц;Иная смешанная российская собственность;;;;;;;"""left""";;;;;;;;;;
73;АССА ГРУПП, ООО УК ЧПП;1226400011474;ASSA GRUPP, OOO UK CHPP;"ООО УК ЧПП ""АССА ГРУПП""";22.09.2022;0,5;6449103789;Управление эксплуатацией нежилого фонда за вознаграждение или на договорной основе;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
74;АССОЦИАЦИЯ ВОСТОЧНО-ЕВРОПЕЙСКИХ УНИВЕРСИТЕТОВ, ООО;1125038009360;EASTERN EUROPEAN UNIVERSITY ASSOCIATION, LLC;"ООО ""АССОЦИАЦИЯ ВОСТОЧНО-ЕВРОПЕЙСКИХ УНИВЕРСИТЕТОВ""";14.02.1992;31,0;5038092835;Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;Микропредприятия;8;6;1;1;1;"""left""";31 004 000;;11 696 000;1 243 000;;2 879 000;;284 000;310 000;
75;АССОЦИАЦИЯ ВЫПУСКНИКОВ ТИУ, ТМОО;1027200001751;ASSOTSIATSIYA VYPUSKNIKOV TIU, TMOO;"ТМОО ""АССОЦИАЦИЯ ВЫПУСКНИКОВ ТИУ""";10.11.1997;25,0;7202080812;Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций;Общественные организации;Собственность общественных объединений;;0 - 5;;;;;"""left""";;;130 000;;;;;9 000;;
76;АССОЦИАЦИЯ МУЛЬТИСПОРТА РОССИИ , АМР;1057700028759;ASSOTSIATSIYA MULTISPORTA ROSSII , AMR;"""АССОЦИАЦИЯ МУЛЬТИСПОРТА РОССИИ"", ""АМР""";02.12.2005;17,0;7717149840;Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций;Союзы (ассоциации) общественных объединений;Собственность общественных объединений;Микропредприятия;;;;;;"""left""";;;;;5 000;;;;;-37 000
77;АСТОН МАРТИН МОСКВА, ООО;1067759685355;ASTON MARTIN MOSKVA, OOO;"ООО ""АСТОН МАРТИН МОСКВА""";14.11.2006;16,0;7734554051;Торговля автотранспортными средствами;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;1;1;1;1;1;"""left""";187 000;4 035 000;18 000 000;22 167 000;18 000 000;-50 572 000;-105 148 000;12 503 000;-12 669 000;-3 089 000
78;АСТРАЗЕНЕКА ФАРМАСЬЮТИКАЛЗ, ООО;1057749225830;ASTRAZENECA PHARMACEUTICALS, LLC;"ООО ""АСТРАЗЕНЕКА ФАРМАСЬЮТИКАЛЗ""";25.11.2005;17,0;7704579700;Торговля оптовая фармацевтической продукцией;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;1 001 - 5 000;501 - 1 000;;;;"""left""";23 015 720 000;16 434 931 000;20 112 638 000;28 238 829 000;39 349 576 000;1 466 810 000;4 505 141 000;757 913 000;2 462 307 000;1 887 648 000
79;АТЛАС КОПКО, АО;1027739719336;ATLAS KOPKO, AO;"АО ""АТЛАС КОПКО""";06.12.2002;20,0;7710218759;Торговля оптовая станками;Непубличные акционерные общества;Собственность иностранных юридических лиц;Крупные предприятия;828;501 - 1 000;;;;"""left""";19 014 540 000;9 196 299 000;9 576 423 000;10 540 819 000;11 810 445 000;1 889 097 000;598 692 000;757 063 000;817 951 000;1 150 863 000
80;АТОС, ООО;1137746042598;ATOS, OOO;"ООО ""АТОС""";24.01.2013;10,0;7714895494;Торговля оптовая неспециализированная;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;4;7;6;6;6;"""left""";27 766 000;58 564 000;58 979 000;43 840 000;44 868 000;1 700 000;3 841 000;5 986 000;4 465 000;4 316 000
81;АУДИТОРСКАЯ ФИРМА АУДИ, ООО;1021602853326;AUDITORSKAYA FIRMA AUDI, OOO;"ООО ""АУДИТОРСКАЯ ФИРМА ""АУДИ""";27.07.1995;27,5;1655023917;Деятельность по оказанию услуг в области бухгалтерского учета, по проведению финансового аудита, по налоговому консультированию;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;12;8;9;7;6;"""left""";14 941 000;13 211 000;14 374 000;10 307 000;11 059 000;696 000;564 000;742 000;349 000;-856 000
82;АУТОДЕСК (СИ-АЙ-ЭС), ООО;1077759191509;AUTODESK (CIS), LLC;"ООО ""АУТОДЕСК (СИ-АЙ-ЭС)""";17.08.2007;15,5;7703642460;Деятельность консультативная и работы в области компьютерных технологий;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;37;23;23;26;31;"""left""";357 078 000;304 923 000;333 358 000;260 923 000;322 455 000;27 563 000;19 841 000;23 313 000;19 444 000;24 039 000
